index,image_id,image_path,label,entities,ratio_category,dreamsim,mse_rgb,mse_gray,ssim_rgb,ssim_gray,og_image
1,f2e1eb0a1aae36e1,original/images/OpenImages/f2e1eb0a1aae36e1.jpg,real,['carnivore'],,,,,,,
3,3fdfe506da22acaa,original/images/OpenImages/3fdfe506da22acaa.jpg,real,['fish'],,,,,,,
4,f509159922bd5baa_m04dr76w_c5a9a2d9_OpenImages_OpenJourney,p2p/OpenImages/SDv4/at_an_airport.jpeg,fake,['bottle'],bin2,0.7579711079597473,0.153337643770137,0.15225774,0.2105849556082966,0.2972628007457897,13.0
9,02ff509712130d4b,original/images/OpenImages/02ff509712130d4b.jpg,real,['piano'],,,,,,,
10,91326dc604d416d7_m025rp___512185c4_OpenImages_StableDiffusion_v5,../data_openImages\p2p/OpenImages/SDv5\91326dc604d416d7_m025rp___512185c4_OpenImages_StableDiffusion_v5.png,fake,['cowboy hat'],bin3,0.8525582551956177,0.1237249260139392,0.12068318,0.1005545882895657,0.1819602238980081,12382.0
13,f509159922bd5baa,original/images/OpenImages/f509159922bd5baa.jpg,real,['bottle'],,,,,,,
14,532f43afe859ead9,original/images/OpenImages/532f43afe859ead9.jpg,real,,,,,,,,
15,3d06dba580883021_m021mn_542e8f96_OpenImages_StableDiffusion_v5,../data_openImages\p2p/OpenImages/SDv5\3d06dba580883021_m021mn_542e8f96_OpenImages_StableDiffusion_v5.png,fake,['cookie'],bin4,0.8872045278549194,0.142051763244887,0.11357037,0.2948993009019652,0.4047337914103351,2211.0
16,4d0f3223700e6099,original/images/OpenImages/4d0f3223700e6099.jpg,real,['otter'],,,,,,,
19,ae666dbde4d986ca_m0ph39_f54bdf7b_OpenImages_OpenJourney,p2p/OpenImages/SDv4/at_an_airport.jpeg,fake,"['canoe', 'boy']",bin2,0.5297672748565674,0.017082453963238,0.016429553,0.6605759199425371,0.6892169686977251,12580.0
20,0bf80b98b70d97f0,original/images/OpenImages/0bf80b98b70d97f0.jpg,real,['shorts'],,,,,,,
26,8d6d26f53d3f9872,original/images/OpenImages/8d6d26f53d3f9872.jpg,real,,,,,,,,
28,f5fa0cf9a280d101,original/images/OpenImages/f5fa0cf9a280d101.jpg,real,['flower'],,,,,,,
29,10e14ddf2ff2819a,original/images/OpenImages/10e14ddf2ff2819a.jpg,real,"['tortoise', 'sea turtle']",,,,,,,
