index,entities,num_altered,altered_indices
3,['fish'],3,"[3099, 7548, 9714]"
13,['bottle'],3,"[4, 2267, 9636]"
8290,"['horse', 'bull']",4,"[6, 886, 11002, 12974]"
12382,['cowboy hat'],6,"[10, 5121, 5652, 8231, 8838, 10622]"
6947,['cookie'],12,"[25, 279, 954, 2637, 4245, 5967, 6235, 7041, 7107, 9378, 9411, 9615]"
13111,['zucchini'],4,"[32, 2203, 3035, 3554]"
4903,['sun hat'],3,"[42, 7605, 8312]"
4346,['dress'],3,"[51, 1328, 11399]"
62,"['shorts', 'volleyball (ball)', 'woman']",4,"[418, 1838, 10045, 10049]"
789,['giraffe'],3,"[6297, 10830, 11234]"
4022,['rose'],4,"[80, 4138, 4957, 10755]"
8489,['tart'],3,"[81, 6655, 8255]"
88,['burrito'],3,"[4368, 11533, 11683]"
3598,"['saucer', 'coffee cup', 'bread']",4,"[99, 1744, 3610, 12407]"
109,"['hamburger', 'bread']",8,"[105, 2284, 3357, 6326, 7137, 8118, 8480, 10178]"
9887,"['sheep', 'goat']",5,"[113, 1648, 3192, 6348, 6475]"
8326,"['luggage and bags', 'girl']",14,"[121, 175, 648, 1877, 2454, 3356, 3559, 4153, 4991, 7900, 9605, 9689, 11403, 13002]"
10717,['monkey'],3,"[131, 8740, 11266]"
6635,"['human body', 'horse', 'bull']",3,"[156, 256, 9154]"
995,"['christmas tree', 'toy']",3,"[164, 905, 1193]"
3568,"['missile', 'rocket']",4,"[184, 3667, 8564, 10179]"
187,"['pillow', 'chest of drawers']",3,"[509, 6217, 12227]"
2297,['rhinoceros'],3,"[194, 4231, 8502]"
3605,"['cattle', 'goat']",3,"[206, 4204, 7671]"
4216,['croissant'],4,"[1604, 3736, 10397, 11885]"
2876,"['man', 'bicycle wheel']",9,"[221, 2022, 3749, 4232, 6396, 6575, 7825, 11502, 12169]"
8222,"['tea', 'coffee (drink)', 'coffee cup', 'mug']",4,"[248, 1307, 9817, 12963]"
6022,"['cocktail', 'juice']",7,"[251, 380, 1594, 4846, 5217, 7196, 12555]"
7337,['aircraft'],4,"[252, 1806, 2774, 10483]"
3149,"['boy', 'human mouth']",3,"[269, 3997, 7790]"
285,['goat'],6,"[523, 635, 2906, 4596, 9757, 12333]"
5715,['shorts'],3,"[291, 4237, 6814]"
5541,['skyscraper'],3,"[299, 1870, 6059]"
12930,"['spoon', 'coffee (drink)', 'saucer', 'coffee cup', 'tea']",4,"[302, 537, 3317, 8702]"
306,['tomato'],3,"[7264, 10675, 11015]"
9683,['bread'],3,"[4963, 5722, 13048]"
2396,"['hamburger', 'cheese']",4,"[1748, 4230, 8620, 10832]"
4334,"['studio couch', 'couch']",3,"[341, 8151, 11819]"
5936,"['coffee (drink)', 'coffee cup', 'mug', 'sandwich']",3,"[344, 1350, 7943]"
4760,"['harbor seal', 'sea lion', 'carnivore']",3,"[355, 3798, 9245]"
8340,"['platter', 'oyster']",11,"[359, 2154, 4003, 5261, 5971, 6923, 7662, 8323, 10556, 11493, 13208]"
3337,"['vase', 'rose']",3,"[377, 3287, 12534]"
11659,['oyster'],3,"[387, 1763, 5524]"
9664,['boot'],3,"[397, 7610, 8804]"
3277,"['woman', 'swimwear']",4,"[401, 4190, 4785, 8933]"
10812,['flower'],4,"[412, 638, 3057, 12985]"
11322,"['coffee (drink)', 'saucer', 'drink', 'coffee cup', 'tea']",8,"[415, 3434, 3771, 5142, 6338, 8775, 11829, 12447]"
416,"['billiard table', 'ball (object)']",4,"[2296, 2833, 12110, 13304]"
6976,['orange (fruit)'],4,"[421, 2299, 4269, 11986]"
10051,"['bowl', 'orange (fruit)', 'grapefruit', 'apple']",8,"[3262, 3465, 4899, 6540, 7498, 8208, 10384, 11922]"
441,['spoon'],3,"[9850, 10394, 11389]"
459,"['cocktail', 'juice', 'lemon (plant)']",4,"[491, 3981, 8405, 11760]"
10446,"['spoon', 'coffee cup', 'drink']",3,"[460, 3301, 9261]"
2026,"['fish', 'whale', 'dolphin']",3,"[485, 11185, 12522]"
5131,['roller skates'],3,"[496, 8870, 10811]"
7040,['mobile phone'],3,"[508, 753, 4004]"
663,"['human body', 'girl']",3,"[524, 7168, 12391]"
3838,['pastry'],9,"[539, 680, 1019, 3977, 4886, 8877, 8931, 10393, 12852]"
548,"['tart', 'tomato', 'cheese', 'bread']",6,"[3040, 4464, 5074, 6053, 9126, 11535]"
6211,['bell pepper'],8,"[554, 949, 2710, 3124, 3407, 3999, 5234, 11914]"
5245,"['coffee (drink)', 'coffee cup']",3,"[557, 3195, 3306]"
10872,['banana'],7,"[560, 1425, 7827, 9480, 10329, 11907, 12406]"
4869,"['coffee cup', 'bowl', 'mixing bowl']",4,"[563, 622, 8216, 10428]"
12882,['toy'],3,"[565, 10385, 12007]"
7342,"['leopard', 'cheetah', 'jaguar (animal)']",6,"[574, 2248, 3861, 9402, 12142, 12437]"
9716,['potato'],9,"[595, 1109, 2887, 5982, 6822, 9606, 9643, 9712, 12483]"
5043,['coffee cup'],3,"[609, 12290, 12617]"
624,['swimwear'],3,"[1909, 1969, 2294]"
4630,"['muffin', 'cake']",3,"[4843, 5890, 11673]"
11832,"['pizza', 'cheese']",5,"[634, 5628, 6213, 7816, 11316]"
12047,"['jeans', 'trousers']",6,"[659, 843, 1943, 2233, 6252, 12245]"
5407,"['cocktail', 'orange (fruit)', 'juice', 'lemon (plant)']",6,"[1749, 2056, 3131, 4463, 4550, 5083]"
2207,['high heels'],4,"[683, 1384, 3005, 4104]"
13312,"['high heels', 'trousers', 'dress', 'belt', 'boot']",3,"[5823, 10018, 11996]"
10818,"['car', 'vehicle registration plate']",4,"[702, 1998, 2237, 3658]"
7249,['grape'],6,"[711, 4446, 5238, 7905, 8148, 12931]"
3397,"['orange (fruit)', 'grapefruit']",4,"[750, 5829, 12412, 13068]"
3198,['bird'],3,"[754, 6894, 8224]"
779,"['goose', 'duck']",5,"[1101, 5370, 7235, 11348, 11927]"
6313,"['sword', 'dagger']",3,"[788, 5529, 12798]"
6406,['muffin'],5,"[817, 2527, 5447, 7202, 8485]"
4505,"['vase', 'flowerpot']",4,"[4520, 5840, 8104, 13156]"
822,['rabbit'],3,"[10604, 11009, 12929]"
11881,['hippopotamus'],3,"[826, 3764, 9988]"
12354,['pancake'],4,"[834, 1788, 4079, 9306]"
5240,['woman'],3,"[835, 7926, 11254]"
6341,"['guitar', 'human body']",3,"[844, 8977, 9238]"
3200,"['jug', 'pitcher (container)', 'flowerpot', 'vase']",5,"[857, 7029, 7841, 10254, 10490]"
12257,"['goldfish', 'fish']",5,"[3093, 3647, 3685, 10233, 11479]"
6932,"['skirt', 'miniskirt', 'dress']",4,"[964, 5176, 6002, 9005]"
5438,['starfish'],3,"[968, 1434, 11481]"
980,"['harbor seal', 'sea lion']",3,"[7305, 7408, 12065]"
7134,['barrel'],6,"[985, 3250, 8947, 9265, 12828, 13180]"
1785,"['tie', 'trousers']",8,"[987, 1453, 1828, 4127, 7773, 8328, 8737, 10893]"
9241,"['aircraft', 'fixed-wing aircraft']",4,"[999, 2313, 7381, 7624]"
4277,['motorcycle'],3,"[1020, 4467, 6945]"
5287,['broccoli'],5,"[1048, 3909, 5157, 7399, 9523]"
11662,"['winter melon', 'squash (plant)']",8,"[1024, 3130, 3389, 3822, 5194, 12070, 12266, 13292]"
1842,"['drink', 'beer']",5,"[1094, 1257, 1393, 1925, 12850]"
3270,"['zucchini', 'cucumber']",4,"[1112, 5465, 7617, 9443]"
10575,['balloon'],3,"[1130, 9020, 10053]"
4523,['canoe'],3,"[6190, 8163, 13011]"
1153,"['van', 'limousine']",4,"[4954, 7722, 8135, 13319]"
10378,"['surfboard', 'swimwear']",3,"[1171, 11666, 12894]"
1224,"['croissant', 'bread']",4,"[4075, 6633, 8367, 11060]"
1248,"['cake', 'strawberry']",4,"[1845, 2044, 9506, 12511]"
4262,['goose'],5,"[1255, 7307, 9183, 9207, 9304]"
2013,"['mobile phone', 'ipod']",6,"[1272, 1963, 2150, 4588, 5862, 6922]"
1282,"['shark', 'whale']",3,"[9093, 10989, 11126]"
3288,"['studio couch', 'sofa bed', 'couch']",6,"[1320, 2626, 3361, 3681, 7372, 11542]"
7914,['fixed-wing aircraft'],3,"[1340, 3719, 4990]"
4755,"['goose', 'duck', 'swan']",5,"[1346, 7478, 10305, 10935, 11625]"
5876,['camel'],5,"[1414, 5895, 9882, 10719, 11450]"
1444,"['bust', 'bronze sculpture']",3,"[1535, 2943, 6642]"
3805,"['high heels', 'boot']",4,"[1455, 1926, 7236, 9044]"
11780,"['drink', 'orange (fruit)', 'grapefruit']",4,"[1473, 2093, 7398, 11939]"
7047,"['spoon', 'coffee (drink)', 'saucer', 'drink', 'bottle', 'coffee cup', 'tea']",4,"[2542, 8972, 9215, 10520]"
8027,"['teapot', 'mug', 'kettle', 'saucer', 'coffee cup']",4,"[1539, 8759, 9599, 10826]"
1555,"['harbor seal', 'sea lion', 'otter']",3,"[1839, 3373, 11869]"
2819,['washing machine'],3,"[1567, 12318, 12372]"
8080,"['coffee cup', 'bowl', 'mug', 'mixing bowl']",11,"[1579, 2564, 2605, 2666, 3186, 3436, 4141, 6888, 7073, 11981, 12021]"
10107,"['tomato', 'pizza']",4,"[1603, 1611, 3363, 7224]"
1613,"['human ear', 'swimwear', 'human mouth']",4,"[1800, 4964, 10323, 12619]"
6171,"['cowboy hat', 'hat']",5,"[1622, 2004, 6611, 9002, 10557]"
12302,"['saucer', 'coffee cup', 'tea', 'coffee (drink)']",3,"[1673, 3808, 12897]"
8728,['dice'],4,"[1682, 2020, 7767, 10281]"
6092,"['wine', 'bottle', 'beer']",3,"[1723, 1983, 2113]"
5819,"['cattle', 'bull']",3,"[1794, 3690, 5039]"
6030,"['pillow', 'studio couch', 'couch']",6,"[1799, 2733, 8260, 9932, 10479, 11827]"
8047,['coin'],4,"[1804, 4735, 9646, 12025]"
6442,"['bagel', 'doughnut']",5,"[1817, 1873, 3592, 8140, 10730]"
10288,['grapefruit'],3,"[1874, 2901, 8879]"
