image_id,image_path,dataset,entities,class,label,mask_id,mask_path,mask_name,ratio,method,model,perturbed_mask_name,sem_magnitude,quality_flag,cap2_img2,direct_sim,language_model,dreamsim,lpips_score,sen_sim,clip_sim,mse_rgb,mse_gray,ssim_rgb,ssim_gray,ratio_rgb,ratio_gray,largest_component_size_gray,largest_component_size_rgb,cc_cluters_rgb,cc_clusters_gray,cluster_dist_rgb,cluster_dist_gray,dreamsim_category,lpips_score_category,sen_sim_category,clip_sim_category,mse_rgb_category,ssim_rgb_category,ratio_rgb_category,ratio_category,change_location_category,sem_mag_category,size_mag_category,scene_diversity,scene_complexity,scene_diversity_category,scene_complexity_category
afdd2b6ab35d4986_m03y6mg_32eb542f_OpenImages_Kandinsky_2_2,"p2p/OpenImages/SDv4/basketball____+_+
.jpeg",OpenImages,['food processor'],['food processor'],fake,afdd2b6ab35d4986_m03y6mg_32eb542f,original/masks/OpenImages/afdd2b6ab35d4986_m03y6mg_32eb542f.jpg,food processor,0.3327903747558594,inpainting,Kandinsky_2_2,Blender,small,False,0.2775554060935974,0.6840723752975464,mistral-7b,0.0258368253707885,0.0563302859663963,0.8010018765926361,0.847900390625,0.0008944452626268,0.0007729991,0.9169533485338004,0.9324447675716788,0.001953125,0.0019569396972656,286.0,286.0,3.0,3.0,315.0522279801165,315.0753007959382,bin1,bin2,bin5,bin5,bin1,bin5,bin1,bin5,localized,bin1,bin5,1.0,1.0,low,low
4e7dce2a7f094a23_m0dftk_4d9427d7_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/on.jpeg,OpenImages,['swan'],['swan'],fake,4e7dce2a7f094a23_m0dftk_4d9427d7,original/masks/OpenImages/4e7dce2a7f094a23_m0dftk_4d9427d7.jpg,swan,0.3686294555664062,inpainting,Kandinsky_2_2,Swan with red beak.,small,False,0.3202905356884002,0.8467309474945068,mistral-7b,0.1241670846939086,0.1402166783809662,0.6962658762931824,0.682373046875,0.0032274179777609,0.0030215227,0.8560108828689031,0.8736089760132235,0.0138435363769531,0.0140113830566406,2164.0,2152.0,6.0,6.0,356.542338907617,355.43146442180245,bin3,bin4,bin5,bin5,bin2,bin4,bin2,bin5,localized,bin3,bin5,1.0,1.0,low,low
e6adb7f0a5ad41e8_m01xyhv_d115deda_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv5/on_a_busy_street.jpeg,OpenImages,['suit'],['suit'],fake,e6adb7f0a5ad41e8_m01xyhv_d115deda,original/masks/OpenImages/e6adb7f0a5ad41e8_m01xyhv_d115deda.jpg,suit,0.0624046325683593,inpainting,Kandinsky_2_2,Suit with a subtle pattern.,small,False,0.1715015023946762,0.8856645822525024,mistral-7b,0.6481394171714783,0.6178429126739502,0.8031569719314575,0.6513671875,0.1572638066756363,0.14368945,0.1599143709654261,0.2537611623441557,0.8589515686035156,0.8030166625976562,204193.0,222715.0,4.0,6.0,395.4481617066984,597.3959541020004,bin5,bin5,bin5,bin5,bin5,bin1,bin5,bin4,diffused,bin5,bin4,1.0,1.0,low,low
50357e02bb150f53_m01xyhv_1f14bc00_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv5/bicycle_trail.jpeg,OpenImages,['suit'],['suit'],fake,50357e02bb150f53_m01xyhv_1f14bc00,original/masks/OpenImages/50357e02bb150f53_m01xyhv_1f14bc00.jpg,suit,0.3725700378417969,inpainting,Kandinsky_2_2,Suit with darker lapels.,small,False,0.3042662143707275,0.7175579071044922,mistral-7b,0.1176956892013549,0.1461969017982483,0.743524581193924,0.7662353515625,0.003148037192914,0.0028043704,0.8586329330679235,0.8785169603609517,0.0074958801269531,0.0080337524414062,1252.0,1122.0,4.0,4.0,143.65131284473026,143.65654836634064,bin3,bin4,bin5,bin5,bin2,bin4,bin2,bin5,localized,bin3,bin5,1.0,1.0,low,low
e0e3ba96aaab9f03_m027pcv_538990cc_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/during_a_thunderstorm.jpeg,OpenImages,['zucchini'],['zucchini'],fake,e0e3ba96aaab9f03_m027pcv_538990cc,original/masks/OpenImages/e0e3ba96aaab9f03_m027pcv_538990cc.jpg,zucchini,0.01373291015625,inpainting,Kandinsky_2_2,Cucumber,medium,False,0.2394775599241256,0.915577471256256,mistral-7b,0.814624547958374,0.6836175322532654,0.6303874254226685,0.650146484375,0.2154044643872886,0.19995855,0.2689013150344938,0.367860743579913,0.7277412414550781,0.7262496948242188,178188.0,177163.0,12.0,8.0,557.6011850271008,477.54098921043135,bin5,bin5,bin4,bin5,bin5,bin1,bin5,bin2,diffused,bin5,bin2,1.0,15.0,low,high
b516db47188ef6b5_m03fj2_54a10d13_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/in_a_rural_area.jpeg,OpenImages,['goldfish'],['goldfish'],fake,b516db47188ef6b5_m03fj2_54a10d13,original/masks/OpenImages/b516db47188ef6b5_m03fj2_54a10d13.jpg,goldfish,0.3717193603515625,inpainting,Kandinsky_2_2,Dolphin,large,False,0.3135132491588592,0.7268207669258118,mistral-7b,0.033210277557373,0.0495676100254058,0.8678369224071503,0.7659912109375,0.0023409009887272,0.0018897373,0.8411645758374298,0.8445148461377037,0.0049934387207031,0.0028800964355468,755.0,758.0,4.0,2.0,84.33963367957695,-1.0,bin2,bin2,bin5,bin5,bin2,bin3,bin2,bin5,localized,bin2,bin5,1.0,1.0,low,low
ca4a95572a412288_m07r04_3c547861_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/cat_curled_up_on_it.jpeg,OpenImages,['truck'],['truck'],fake,ca4a95572a412288_m07r04_3c547861,original/masks/OpenImages/ca4a95572a412288_m07r04_3c547861.jpg,truck,0.7663650512695312,inpainting,Kandinsky_2_2,Truck with giant wheels,large,False,0.3022852540016174,0.6974838972091675,mistral-7b,0.0173388719558715,0.0627128109335899,0.7351314127445221,0.755126953125,0.0038948747810149,0.0034016874,0.7377219459637514,0.7449371972926015,0.0223007202148437,0.0185012817382812,2001.0,1961.0,10.0,8.0,434.31959878828417,410.0091144680149,bin1,bin3,bin5,bin5,bin3,bin2,bin3,bin5,diffused,bin1,bin5,1.0,1.0,low,low
62fa8b3f5fd71896_m0k4j_5df1f8df_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/nearby_it.jpeg,OpenImages,['car'],['car'],fake,62fa8b3f5fd71896_m0k4j_5df1f8df,original/masks/OpenImages/62fa8b3f5fd71896_m0k4j_5df1f8df.jpg,car,0.1733856201171875,inpainting,Kandinsky_2_2,Car with tinted windows,small,False,0.2905513346195221,0.8405247926712036,mistral-7b,0.2325032949447631,0.1116881296038627,0.7585951387882233,0.7508544921875,0.0095330986151034,0.0062629324,0.7606916931449722,0.7949209802970978,0.0208778381347656,0.014617919921875,830.0,1429.0,15.0,12.0,530.8051998566583,592.5587095160965,bin4,bin4,bin5,bin5,bin4,bin2,bin3,bin5,diffused,bin4,bin5,1.0,1.0,low,low
15945566b3fba67e_m0138tl_43e1e96e_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv5/seed.jpeg,OpenImages,['toy'],['toy'],fake,15945566b3fba67e_m0138tl_43e1e96e,original/masks/OpenImages/15945566b3fba67e_m0138tl_43e1e96e.jpg,toy,0.0216903686523437,inpainting,Kandinsky_2_2,To toy with yellow eyes.,small,False,0.2687529027462005,0.8781759738922119,mistral-7b,0.8189148902893066,0.5806258916854858,1.0,0.8267822265625,0.0881116812653561,0.07891774,0.3180513089164524,0.3794591050570212,0.6234321594238281,0.56524658203125,105206.0,128611.0,18.0,29.0,586.27496936008,584.1219519660854,bin5,bin5,bin5,bin5,bin5,bin1,bin5,bin3,diffused,bin5,bin3,1.0,4.0,low,medium
c26d06f3fad20fa1_m03k3r_230f6f46_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/yellow.jpeg,OpenImages,['horse'],['horse'],fake,c26d06f3fad20fa1_m03k3r_230f6f46,original/masks/OpenImages/c26d06f3fad20fa1_m03k3r_230f6f46.jpg,horse,0.078765869140625,inpainting,Kandinsky_2_2,Donkey,small,False,0.2139564156532287,0.807989239692688,mistral-7b,0.0360537767410278,0.0534442476928234,0.8656088560819626,0.76806640625,0.0008250057264946,0.00075148966,0.8381087379378872,0.8542303325136348,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,bin2,bin2,bin5,bin5,bin1,bin3,bin1,bin4,localized,bin2,bin4,1.0,2.0,low,low
