image_id,image_path,dataset,entities,class,label,mask_id,mask_path,mask_name,ratio,method,model,perturbed_mask_name,sem_magnitude,quality_flag,cap2_img2,direct_sim,language_model,dreamsim,lpips_score,sen_sim,clip_sim,mse_rgb,mse_gray,ssim_rgb,ssim_gray,ratio_rgb,ratio_gray,largest_component_size_gray,largest_component_size_rgb,cc_cluters_rgb,cc_clusters_gray,cluster_dist_rgb,cluster_dist_gray,dreamsim_category,lpips_score_category,sen_sim_category,clip_sim_category,mse_rgb_category,ssim_rgb_category,ratio_rgb_category,ratio_category,change_location_category,sem_mag_category,size_mag_category,scene_diversity,scene_complexity,scene_diversity_category,scene_complexity_category
f509159922bd5baa_m04dr76w_c5a9a2d9_OpenImages_OpenJourney,p2p/OpenImages/SDv4/at_an_airport.jpeg,OpenImages,['bottle'],['bottle'],fake,f509159922bd5baa_m04dr76w_c5a9a2d9,original/masks/OpenImages/f509159922bd5baa_m04dr76w_c5a9a2d9.jpg,bottle,0.01708984375,inpainting,OpenJourney,Pickle,small,False,0.2846263349056244,0.8570329546928406,mistral-7b,0.7579711079597473,0.599401593208313,0.6922605931758881,0.7392578125,0.153337643770137,0.15225774,0.2105849556082966,0.2972628007457897,0.7957077026367188,0.7863082885742188,201930.0,204360.0,9.0,9.0,541.9346878697357,541.9043232337685,bin5,bin5,bin5,bin5,bin5,bin1,bin5,bin2,diffused,bin5,bin2,1.0,6.0,low,medium
86401ad43b4f7652_m0cnyhnx_ca4b7e93_OpenImages_OpenJourney,"p2p/OpenImages/SDv4/woman_++
.jpeg",OpenImages,"['horse', 'bull']","['horse', 'bull']",fake,86401ad43b4f7652_m0cnyhnx_ca4b7e93,original/masks/OpenImages/86401ad43b4f7652_m0cnyhnx_ca4b7e93.jpg,bull,0.185577392578125,inpainting,OpenJourney,Bull with a red spot on its back.,small,False,0.25369393825531,0.8316943049430847,mistral-7b,0.213791012763977,0.0756652429699897,0.7565129548311234,0.742431640625,0.0057642674155836,0.004608341,0.7894876991187029,0.8007913269082656,0.0291633605957031,0.0250701904296875,2158.0,3901.0,15.0,16.0,433.7549283765504,433.7549283765504,bin4,bin3,bin5,bin5,bin3,bin2,bin3,bin5,diffused,bin4,bin5,2.0,2.0,low,low
ae666dbde4d986ca_m0ph39_f54bdf7b_OpenImages_OpenJourney,p2p/OpenImages/SDv4/at_an_airport.jpeg,OpenImages,"['canoe', 'boy']","['boy', 'canoe']",fake,ae666dbde4d986ca_m0ph39_f54bdf7b,original/masks/OpenImages/ae666dbde4d986ca_m0ph39_f54bdf7b.jpg,canoe,0.013946533203125,inpainting,OpenJourney,Canoe with yellow paddles.,medium,False,0.2461277246475219,0.867622435092926,mistral-7b,0.5297672748565674,0.3098323047161102,0.5941474735736847,0.664306640625,0.017082453963238,0.016429553,0.6605759199425371,0.6892169686977251,0.1650962829589843,0.1643867492675781,8763.0,8899.0,30.0,28.0,482.24111212191787,482.0213838758985,bin5,bin5,bin4,bin5,bin4,bin1,bin5,bin2,diffused,bin5,bin2,2.0,1.0,low,low
52c49430de9b4f36_m08pbxl_7fe64d31_OpenImages_OpenJourney,p2p/OpenImages/SDv4/sofa.jpeg,OpenImages,['monkey'],['monkey'],fake,52c49430de9b4f36_m08pbxl_7fe64d31,original/masks/OpenImages/52c49430de9b4f36_m08pbxl_7fe64d31.jpg,monkey,0.1961479187011718,inpainting,OpenJourney,Giraffe,medium,False,0.3025462031364441,0.782130241394043,mistral-7b,0.0384269952774047,0.0920219719409942,0.788171723484993,0.73291015625,0.0061388538697431,0.00562681,0.5952791848825703,0.6014417252246584,0.0068893432617187,0.0059967041015625,508.0,508.0,7.0,7.0,201.534867827056,201.61406033083205,bin2,bin3,bin5,bin5,bin3,bin1,bin2,bin5,localized,bin2,bin5,1.0,1.0,low,low
c41e3e3c39707992_m0ch_cf_8ebc71b9_OpenImages_OpenJourney,p2p/OpenImages/SDv4/on_a_rainy_day.jpeg,OpenImages,['fish'],['fish'],fake,c41e3e3c39707992_m0ch_cf_8ebc71b9,original/masks/OpenImages/c41e3e3c39707992_m0ch_cf_8ebc71b9.jpg,fish,0.2157363891601562,inpainting,OpenJourney,Dolphin,medium,False,0.2720924615859985,0.7285739779472351,mistral-7b,0.0515945553779602,0.0972275584936142,0.7701938450336456,0.65869140625,0.003321716492411,0.0031818582,0.7866546720558626,0.804073301381183,0.0274276733398437,0.028411865234375,5298.0,5245.0,9.0,10.0,493.0073886582758,493.279004608685,bin3,bin4,bin5,bin5,bin2,bin2,bin3,bin5,diffused,bin3,bin5,1.0,1.0,low,low
fd280d46f9488014_m01d40f_41bb8e2e_OpenImages_OpenJourney,p2p/OpenImages/SDv4/in_a_desert.jpeg,OpenImages,['dress'],['dress'],fake,fd280d46f9488014_m01d40f_41bb8e2e,original/masks/OpenImages/fd280d46f9488014_m01d40f_41bb8e2e.jpg,dress,0.3591957092285156,inpainting,OpenJourney,Purple dress,medium,False,0.2547795176506042,0.6937094926834106,mistral-7b,0.2602222561836242,0.1852653175592422,0.7072997391223907,0.72705078125,0.0058023476469261,0.0053131743,0.6847946223973144,0.7294953120697293,0.0268440246582031,0.0248870849609375,912.0,900.0,17.0,16.0,516.1868953997138,516.7337640814978,bin4,bin4,bin5,bin5,bin3,bin2,bin3,bin5,diffused,bin4,bin5,1.0,2.0,low,low
89c6d8208f281215_m05z6w_52a694b2_OpenImages_OpenJourney,p2p/OpenImages/SDv4/at_dusk.jpeg,OpenImages,['penguin'],['penguin'],fake,89c6d8208f281215_m05z6w_52a694b2,original/masks/OpenImages/89c6d8208f281215_m05z6w_52a694b2.jpg,penguin,0.0557975769042968,inpainting,OpenJourney,Penguin with yellow feathers,large,False,0.2954555749893188,0.8874205350875854,mistral-7b,0.1004450321197509,0.1036135628819465,0.7867900133132935,0.718505859375,0.0035903932424015,0.0028977445,0.7927685824871432,0.8341654089011281,0.009063720703125,0.0112991333007812,448.0,366.0,9.0,11.0,353.77949801371966,353.8207542617173,bin3,bin4,bin5,bin5,bin3,bin2,bin2,bin4,diffused,bin3,bin2,1.0,2.0,low,low
f34a0b92a975f4e7_m0gxl3_46d7868e_OpenImages_OpenJourney,p2p/OpenImages/SDv4/sunny.jpeg,OpenImages,['handgun'],['handgun'],fake,f34a0b92a975f4e7_m0gxl3_46d7868e,original/masks/OpenImages/f34a0b92a975f4e7_m0gxl3_46d7868e.jpg,handgun,0.2856864929199219,inpainting,OpenJourney,Handgun with a silver handle.,medium,False,0.3043112158775329,0.767219066619873,mistral-7b,0.8653197288513184,0.6419746279716492,0.8440825343132019,0.8304443359375,0.1594684512930222,0.14613032,0.1752170580589358,0.2601725965029905,0.8151664733886719,0.7627372741699219,177895.0,207192.0,16.0,16.0,365.2623481544016,502.4287164611471,bin5,bin5,bin5,bin5,bin5,bin1,bin5,bin5,diffused,bin5,bin5,1.0,1.0,low,low
6a4aed4e13e31315_m039xj__3c2bc008_OpenImages_OpenJourney,p2p/OpenImages/SDv4/rabbit_playing.jpeg,OpenImages,"['suit', 'human body', 'human ear']","['human ear', 'human body', 'suit']",fake,6a4aed4e13e31315_m039xj__3c2bc008,original/masks/OpenImages/6a4aed4e13e31315_m039xj__3c2bc008.jpg,human ear,0.0061073303222656,inpainting,OpenJourney,Earring,medium,False,0.2556280791759491,0.8336182832717896,mistral-7b,0.2377780675888061,0.2183191776275634,0.7574815452098846,0.682373046875,0.0233656411352454,0.02060351,0.5327402334355714,0.5797021980276127,0.2248306274414062,0.2154655456542968,31107.0,33087.0,29.0,30.0,601.077446572543,565.9623486158456,bin4,bin5,bin5,bin5,bin5,bin1,bin5,bin1,diffused,bin5,bin1,3.0,5.0,low,medium
8860659d997827f0_m01bl7v_0f53744b_OpenImages_OpenJourney,p2p/OpenImages/SDv4/apples.jpeg,OpenImages,"['baseball glove', 'glove', 'boy']","['boy', 'baseball glove', 'glove']",fake,8860659d997827f0_m01bl7v_0f53744b,original/masks/OpenImages/8860659d997827f0_m01bl7v_0f53744b.jpg,boy,0.1452484130859375,inpainting,OpenJourney,Baseball glove,large,False,0.2724779546260834,0.7813294529914856,mistral-7b,0.064473807811737,0.0717469975352287,0.8656088560819626,0.76806640625,0.001072304195339,0.000976724,0.8320218404835726,0.8519103944436046,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,bin3,bin3,bin5,bin5,bin1,bin3,bin1,bin5,localized,bin3,bin5,3.0,4.0,low,medium
