image_id,image_path,dataset,entities,class,label,mask_id,mask_path,mask_name,ratio,method,model,perturbed_mask_name,sem_magnitude,quality_flag,cap2_img2,direct_sim,language_model,dreamsim,lpips_score,sen_sim,clip_sim,mse_rgb,mse_gray,ssim_rgb,ssim_gray,ratio_rgb,ratio_gray,largest_component_size_gray,largest_component_size_rgb,cc_cluters_rgb,cc_clusters_gray,cluster_dist_rgb,cluster_dist_gray,dreamsim_category,lpips_score_category,sen_sim_category,clip_sim_category,mse_rgb_category,ssim_rgb_category,ratio_rgb_category,ratio_category,change_location_category,sem_mag_category,size_mag_category,scene_diversity,scene_complexity,scene_diversity_category,scene_complexity_category
91326dc604d416d7_m025rp___512185c4_OpenImages_StableDiffusion_v5,p2p/OpenImages/SDv5/in_a_bustling_kitchen.jpeg,OpenImages,['cowboy hat'],['cowboy hat'],fake,91326dc604d416d7_m025rp___512185c4,original/masks/OpenImages/91326dc604d416d7_m025rp___512185c4.jpg,cowboy hat,0.0428733825683593,inpainting,StableDiffusion_v5,Cowboy hat with a feather.,medium,False,0.2339668571949005,0.9198753237724304,mistral-7b,0.8525582551956177,0.5912759304046631,0.926643043756485,0.8197021484375,0.1237249260139392,0.12068318,0.1005545882895657,0.1819602238980081,0.8513870239257812,0.8433685302734375,220626.0,223186.0,2.0,4.0,-1.0,324.8166566825803,bin5,bin5,bin5,bin5,bin5,bin1,bin5,bin3,diffused,bin5,bin3,1.0,7.0,low,medium
3d06dba580883021_m021mn_542e8f96_OpenImages_StableDiffusion_v5,p2p/OpenImages/SDv5/on_a_rainy_day.jpeg,OpenImages,['cookie'],['cookie'],fake,3d06dba580883021_m021mn_542e8f96,original/masks/OpenImages/3d06dba580883021_m021mn_542e8f96.jpg,cookie,0.0551261901855468,inpainting,StableDiffusion_v5,Biscuit,small,False,0.254936158657074,0.8968231678009033,mistral-7b,0.8872045278549194,0.6624671220779419,0.8635623157024384,0.78759765625,0.142051763244887,0.11357037,0.2948993009019652,0.4047337914103351,0.8011741638183594,0.6459732055664062,160753.0,202286.0,9.0,13.0,406.0093461419271,504.8127065195664,bin5,bin5,bin5,bin5,bin5,bin1,bin5,bin4,diffused,bin5,bin4,1.0,4.0,low,medium
b2916bddaa2d55eb_m021mn_89c7afa6_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/small.jpeg,OpenImages,['cookie'],['cookie'],fake,b2916bddaa2d55eb_m021mn_89c7afa6,original/masks/OpenImages/b2916bddaa2d55eb_m021mn_89c7afa6.jpg,cookie,0.0206947326660156,inpainting,StableDiffusion_v5,Chocolate chip cookie,medium,False,0.2974430322647095,0.9255419969558716,mistral-7b,0.6042270660400391,0.4522430300712585,0.476088285446167,0.4736328125,0.0681002025807131,0.06564024,0.4066606019124462,0.5046007856165927,0.4350242614746094,0.4410552978515625,112701.0,112349.0,6.0,9.0,533.2473535706425,533.3363841621282,bin5,bin5,bin3,bin5,bin5,bin1,bin5,bin3,diffused,bin5,bin3,1.0,13.0,low,medium
c861036dc15f8bca_m027pcv_3dde2a0c_OpenImages_StableDiffusion_v5,p2p/OpenImages/SDv5/in_the_misty_rain.jpeg,OpenImages,['zucchini'],['zucchini'],fake,c861036dc15f8bca_m027pcv_3dde2a0c,original/masks/OpenImages/c861036dc15f8bca_m027pcv_3dde2a0c.jpg,zucchini,0.0058746337890625,inpainting,StableDiffusion_v5,Zucchini with purple stripes,medium,False,0.2888416945934295,0.8340997695922852,mistral-7b,0.849419355392456,0.7704991102218628,0.8102256506681442,0.799560546875,0.3070731521639688,0.29287803,0.2075224951185951,0.2888655659937145,0.9002189636230469,0.8948478698730469,234362.0,235304.0,3.0,3.0,328.4861657258718,171.10091463212666,bin5,bin5,bin5,bin5,bin5,bin1,bin5,bin1,diffused,bin5,bin1,1.0,12.0,low,medium
d524268ef002d153_m024g6_7289363b_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/diverse_tray.jpeg,OpenImages,['cocktail'],['cocktail'],fake,d524268ef002d153_m024g6_7289363b,original/masks/OpenImages/d524268ef002d153_m024g6_7289363b.jpg,cocktail,0.2278366088867187,inpainting,StableDiffusion_v5,Cocktail with ice cubes,large,False,0.3163269758224487,0.8848835825920105,mistral-7b,0.0215262770652771,0.046610377728939,0.9000086113810539,0.68994140625,0.0015363517779807,0.0012221938,0.8401537461792817,0.8445202792715155,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,bin1,bin2,bin5,bin5,bin1,bin3,bin1,bin5,localized,bin1,bin5,1.0,2.0,low,low
81be67d8946df74c_m02jz0l_6bfa81fb_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/middle-aged.jpeg,OpenImages,['tap'],['tap'],fake,81be67d8946df74c_m02jz0l_6bfa81fb,original/masks/OpenImages/81be67d8946df74c_m02jz0l_6bfa81fb.jpg,tap,0.0087814331054687,inpainting,StableDiffusion_v5,Toothbrush,small,False,0.2871905267238617,0.8386543989181519,mistral-7b,0.530720055103302,0.3914131224155426,0.7568980157375336,0.743408203125,0.0341560219844518,0.028725294,0.4548381993970063,0.4705277448805927,0.3433303833007812,0.3104057312011719,29311.0,33460.0,24.0,27.0,461.9303303770636,499.102418197727,bin5,bin5,bin5,bin5,bin5,bin1,bin5,bin1,diffused,bin5,bin1,1.0,1.0,low,low
96255b59d9f1c4c8_m0c9ph5_530ff6cd_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/on_a_rainy_day.jpeg,OpenImages,['flower'],['flower'],fake,96255b59d9f1c4c8_m0c9ph5_530ff6cd,original/masks/OpenImages/96255b59d9f1c4c8_m0c9ph5_530ff6cd.jpg,flower,0.0055084228515625,inpainting,StableDiffusion_v5,Flower with 100 petals,large,False,0.2672370672225952,0.8881222009658813,mistral-7b,0.0590642690658569,0.0847168713808059,0.8752944767475128,0.8375244140625,0.0037977553361137,0.003557506,0.7686089679492847,0.7675774408731899,0.0018806457519531,0.0009193420410156,241.0,252.0,3.0,2.0,169.0766234178403,-1.0,bin3,bin3,bin5,bin5,bin3,bin2,bin1,bin1,localized,bin3,bin1,1.0,1.0,low,low
a479742fc8dea3a9_m01xyhv_c7051e0b_OpenImages_StableDiffusion_v5,p2p/OpenImages/SDv5/on_a_snowy_winter.jpeg,OpenImages,['suit'],['suit'],fake,a479742fc8dea3a9_m01xyhv_c7051e0b,original/masks/OpenImages/a479742fc8dea3a9_m01xyhv_c7051e0b.jpg,suit,0.0291175842285156,inpainting,StableDiffusion_v5,Priest's robe,large,False,0.243386834859848,0.8492279052734375,mistral-7b,0.0940943956375122,0.1564423590898513,0.7917117774486542,0.8033447265625,0.0033585340164264,0.0028669236,0.767707613315424,0.7854638468449946,0.0050468444824218,0.0035057067871093,498.0,791.0,3.0,3.0,171.37301698819533,173.58100914762224,bin3,bin4,bin5,bin5,bin2,bin2,bin2,bin3,localized,bin3,bin2,1.0,2.0,low,low
74b714ee6721e879_m0hf58v5_c3daf51e_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/desk_in_a_busy_office.jpeg,OpenImages,"['luggage and bags', 'girl']","['girl', 'luggage and bags']",fake,74b714ee6721e879_m0hf58v5_c3daf51e,original/masks/OpenImages/74b714ee6721e879_m0hf58v5_c3daf51e.jpg,luggage and bags,0.00848388671875,inpainting,StableDiffusion_v5,Handbags,large,False,0.2347205579280853,0.9110863208770752,mistral-7b,0.7862253189086914,0.6022889614105225,0.7610557377338409,0.70263671875,0.1614919999359846,0.15864332,0.1745346968432965,0.2566475309297025,0.7244949340820312,0.7233009338378906,177658.0,177758.0,11.0,10.0,518.8978119786838,520.2178794292118,bin5,bin5,bin5,bin5,bin5,bin1,bin5,bin1,diffused,bin5,bin1,2.0,22.0,low,high
5ec8da85254071f2_m015p6_e423169f_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/at_a_farm.jpeg,OpenImages,['bird'],['bird'],fake,5ec8da85254071f2_m015p6_e423169f,original/masks/OpenImages/5ec8da85254071f2_m015p6_e423169f.jpg,bird,0.0680160522460937,inpainting,StableDiffusion_v5,Bird with a red crest.,medium,False,0.2932930290699005,0.7877463698387146,mistral-7b,0.4280303716659546,0.2573745548725128,0.7551248967647552,0.830810546875,0.0163396781697481,0.014125492,0.6018005454245384,0.6304916594356151,0.0858879089355468,0.0786552429199218,7246.0,9528.0,14.0,15.0,414.9117209495397,408.2988990761161,bin5,bin5,bin5,bin5,bin4,bin1,bin4,bin4,diffused,bin5,bin4,1.0,1.0,low,low
75e0688103f10177_m0hqkz_6a1822fc_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/climbing_up_the_stairs.jpeg,OpenImages,"['orange (fruit)', 'grapefruit', 'lemon (plant)']","['lemon (plant)', 'grapefruit', 'orange (fruit)']",fake,75e0688103f10177_m0hqkz_6a1822fc,original/masks/OpenImages/75e0688103f10177_m0hqkz_6a1822fc.jpg,grapefruit,0.6694259643554688,inpainting,StableDiffusion_v5,Lemon,medium,False,0.2718393206596374,0.7429882287979126,mistral-7b,0.766769528388977,0.3692408502101898,0.7695494890213013,0.739013671875,0.0330301173570812,0.026385192,0.4738082714329308,0.496773543759718,0.2967147827148437,0.2572174072265625,57448.0,72609.0,13.0,15.0,395.23036970703225,530.2497667210175,bin5,bin5,bin5,bin5,bin5,bin1,bin5,bin5,diffused,bin5,bin5,3.0,4.0,low,medium
