,index,image_id,image_path,label,entities,ratio_category,dreamsim,mse_rgb,mse_gray,ssim_rgb,ssim_gray,og_image
1,1,f2e1eb0a1aae36e1,original/images/OpenImages/f2e1eb0a1aae36e1.jpg,real,['carnivore'],,,,,,,
3,3,3fdfe506da22acaa,original/images/OpenImages/3fdfe506da22acaa.jpg,real,['fish'],,,,,,,
4,4,f509159922bd5baa_m04dr76w_c5a9a2d9_OpenImages_OpenJourney,p2p/OpenImages/SDv4/at_an_airport.jpeg,fake,['bottle'],bin2,0.7579711079597473,0.153337643770137,0.15225774,0.2105849556082966,0.2972628007457897,13.0
6,6,86401ad43b4f7652_m0cnyhnx_ca4b7e93_OpenImages_OpenJourney,"p2p/OpenImages/SDv4/woman_++
.jpeg",fake,"['horse', 'bull']",bin5,0.213791012763977,0.0057642674155836,0.004608341,0.7894876991187029,0.8007913269082656,8290.0
8,8,a91055125f2815b4_m01bl7v_c916f3bd_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/comfortable.jpeg,fake,"['boy', 'human ear']",bin5,0.0625027418136596,0.0060346323121102,0.005578341,0.7959081798240586,0.8151318358471367,
9,9,02ff509712130d4b,original/images/OpenImages/02ff509712130d4b.jpg,real,['piano'],,,,,,,
10,10,91326dc604d416d7_m025rp___512185c4_OpenImages_StableDiffusion_v5,p2p/OpenImages/SDv5/in_a_bustling_kitchen.jpeg,fake,['cowboy hat'],bin3,0.8525582551956177,0.1237249260139392,0.12068318,0.1005545882895657,0.1819602238980081,12382.0
13,13,f509159922bd5baa,original/images/OpenImages/f509159922bd5baa.jpg,real,['bottle'],,,,,,,
14,14,532f43afe859ead9,original/images/OpenImages/532f43afe859ead9.jpg,real,,,,,,,,
15,15,3d06dba580883021_m021mn_542e8f96_OpenImages_StableDiffusion_v5,p2p/OpenImages/SDv5/on_a_rainy_day.jpeg,fake,['cookie'],bin4,0.8872045278549194,0.142051763244887,0.11357037,0.2948993009019652,0.4047337914103351,2211.0
16,16,4d0f3223700e6099,original/images/OpenImages/4d0f3223700e6099.jpg,real,['otter'],,,,,,,
