image_id,image_path,dataset,entities,class,label,mask_id,mask_path,mask_name,ratio,method,model,perturbed_mask_name,sem_magnitude,quality_flag,cap2_img2,direct_sim,language_model,dreamsim,lpips_score,sen_sim,clip_sim,mse_rgb,mse_gray,ssim_rgb,ssim_gray,ratio_rgb,ratio_gray,largest_component_size_gray,largest_component_size_rgb,cc_cluters_rgb,cc_clusters_gray,cluster_dist_rgb,cluster_dist_gray,dreamsim_category,lpips_score_category,sen_sim_category,clip_sim_category,mse_rgb_category,ssim_rgb_category,ratio_rgb_category,ratio_category,change_location_category,sem_mag_category,size_mag_category,scene_diversity,scene_complexity,scene_diversity_category,scene_complexity_category
ulm_000024_000019_instance065_CityScapes_OpenJourney,p2p/OpenImages/OJ/during_a_thunderstorm.jpeg,CityScapes,"['traffic sign', 'bicycle', 'traffic light', 'out of roi', 'pole', 'person', 'vegetation', 'building', 'ego vehicle', 'sky', 'ground', 'road', 'rider', 'sidewalk']","['building', 'road', 'sidewalk']",fake,ulm_000024_000019_instance065,original/masks/CityScapes/ulm_000024_000019_instance065.png,sidewalk,0.0090866088867187,inpainting,OpenJourney,Pavement,small,False,0.2170465141534805,0.913038969039917,mistral-7b,0.782129168510437,0.6212109327316284,0.640513151884079,0.655517578125,0.2522077372843189,0.24913152,0.2469148084516097,0.3069636283394785,0.7902183532714844,0.7941551208496094,186182.0,185624.0,5.0,7.0,558.180395920273,558.9343407389314,bin5,bin5,bin4,bin5,bin5,bin1,bin5,bin1,diffused,bin5,bin1,14.0,24.0,high,high
f509159922bd5baa_m04dr76w_c5a9a2d9_OpenImages_OpenJourney,p2p/OpenImages/SDv4/at_an_airport.jpeg,OpenImages,['bottle'],['bottle'],fake,f509159922bd5baa_m04dr76w_c5a9a2d9,original/masks/OpenImages/f509159922bd5baa_m04dr76w_c5a9a2d9.jpg,bottle,0.01708984375,inpainting,OpenJourney,Pickle,small,False,0.2846263349056244,0.8570329546928406,mistral-7b,0.7579711079597473,0.599401593208313,0.6922605931758881,0.7392578125,0.153337643770137,0.15225774,0.2105849556082966,0.2972628007457897,0.7957077026367188,0.7863082885742188,201930.0,204360.0,9.0,9.0,541.9346878697357,541.9043232337685,bin5,bin5,bin5,bin5,bin5,bin1,bin5,bin2,diffused,bin5,bin2,1.0,6.0,low,medium
86401ad43b4f7652_m0cnyhnx_ca4b7e93_OpenImages_OpenJourney,"p2p/OpenImages/SDv4/woman_++
.jpeg",OpenImages,"['horse', 'bull']","['horse', 'bull']",fake,86401ad43b4f7652_m0cnyhnx_ca4b7e93,original/masks/OpenImages/86401ad43b4f7652_m0cnyhnx_ca4b7e93.jpg,bull,0.185577392578125,inpainting,OpenJourney,Bull with a red spot on its back.,small,False,0.25369393825531,0.8316943049430847,mistral-7b,0.213791012763977,0.0756652429699897,0.7565129548311234,0.742431640625,0.0057642674155836,0.004608341,0.7894876991187029,0.8007913269082656,0.0291633605957031,0.0250701904296875,2158.0,3901.0,15.0,16.0,433.7549283765504,433.7549283765504,bin4,bin3,bin5,bin5,bin3,bin2,bin3,bin5,diffused,bin4,bin5,2.0,2.0,low,low
instance_002_ADE_train_00001202_ADE20K_OpenJourney,p2p/ADE20K/SDv5/filled_with_plants.jpeg,ADE20K,"['fence', 'ticket counter', 'floor', 'wall', 'sign', 'bulletin board', 'person', 'door']","['ticket counter', 'door', 'fence']",fake,instance_002_ADE_train_00001202,original/masks/ADE20K/instance_002_ADE_train_00001202.png,ticket counter,0.2810173034667969,inpainting,OpenJourney,Ticket vending machine,large,False,0.2759361863136291,0.8579933643341064,mistral-7b,0.0375504493713378,0.0587259083986282,0.8445311486721039,0.778076171875,0.0020637753124987,0.0015129725,0.8143033636302172,0.8251739910486404,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,bin2,bin2,bin5,bin5,bin2,bin3,bin1,bin5,localized,bin2,bin5,8.0,10.0,medium,medium
strasbourg_000000_002183_instance000_CityScapes_OpenJourney,p2p/ADE20K/SDv4/in_a_cozy_living_room.jpeg,CityScapes,"['out of roi', 'rectification border', 'vegetation', 'bicyclegroup', 'building', 'static', 'ego vehicle', 'sky', 'car', 'road', 'trailer', 'sidewalk']","['road', 'building', 'ego vehicle']",fake,strasbourg_000000_002183_instance000,original/masks/CityScapes/strasbourg_000000_002183_instance000.png,sky,0.1903533935546875,inpainting,OpenJourney,Clouds,small,False,0.24849933385849,0.8490768671035767,mistral-7b,0.0704444050788879,0.0964500308036804,0.4754625558853149,0.50439453125,0.0040844425023954,0.00329891,0.7977108191689647,0.8364843557207797,0.0174140930175781,0.0158119201660156,792.0,796.0,14.0,13.0,679.2256061081724,588.4874639494833,bin3,bin4,bin3,bin5,bin3,bin3,bin2,bin5,diffused,bin3,bin5,12.0,18.0,medium,high
bochum_000000_021070_instance007_CityScapes_OpenJourney,p2p/OpenImages/OJ/in_a_dusty_cage.jpeg,CityScapes,"['out of roi', 'rectification border', 'pole', 'vegetation', 'static', 'building', 'ego vehicle', 'sky', 'bridge', 'car', 'road', 'terrain', 'sidewalk']","['road', 'building', 'vegetation']",fake,bochum_000000_021070_instance007,original/masks/CityScapes/bochum_000000_021070_instance007.png,terrain,0.0255126953125,inpainting,OpenJourney,Mountain,medium,False,0.2084953337907791,0.9221677780151368,mistral-7b,0.8020832538604736,0.4769220948219299,0.650175005197525,0.56005859375,0.0592966974403374,0.048337195,0.3408367123855254,0.4054809682337567,0.4539299011230469,0.3676528930664062,46859.0,55668.0,30.0,33.0,584.7693241235348,550.4689461945075,bin5,bin5,bin4,bin5,bin5,bin1,bin5,bin3,diffused,bin5,bin3,13.0,21.0,high,high
img_05510_Rightarm_HumanParsing_OpenJourney,p2p/OpenImages/SDv5/display.jpeg,HumanParsing,"['Hair', 'Upper-clothes', 'Right-arm', 'Face', 'Pants', 'Background', 'Left-arm']",['person'],fake,img_05510_Rightarm,original/masks/HumanParsing/img_05510_Rightarm.png,Right-arm,0.0078239440917968,inpainting,OpenJourney,Right-arm with a flower pattern,medium,False,0.1897562444210052,0.908777356147766,mistral-7b,0.0755432844161987,0.0846051350235939,0.5299356281757355,0.5693359375,0.0016311372910709,0.0013533127,0.8695493325228881,0.8957768823248655,0.0016365051269531,0.0024452209472656,429.0,429.0,2.0,3.0,-1.0,384.9863474437101,bin3,bin3,bin4,bin5,bin2,bin4,bin1,bin1,localized,bin3,bin1,7.0,7.0,medium,medium
instance_005_ADE_train_00010850_ADE20K_OpenJourney,p2p/ADE20K/SDv5/fireplace_in_the_background.jpeg,ADE20K,"['sky', 'landfill', 'sign', 'ground', 'person', 'truck', 'trees', 'steam shovel']","['ground', 'steam shovel', 'trees']",fake,instance_005_ADE_train_00010850,original/masks/ADE20K/instance_005_ADE_train_00010850.png,ground,0.3841209411621094,inpainting,OpenJourney,Dirt,large,False,0.2436335235834121,0.860828161239624,mistral-7b,0.0243647098541259,0.0430558770895004,0.7715735286474228,0.773681640625,0.0015478124719971,0.0013866259,0.822032244740261,0.8330589523907512,0.0045394897460937,0.0044441223144531,584.0,596.0,3.0,3.0,86.21376800171733,86.99426927450433,bin1,bin1,bin5,bin5,bin2,bin3,bin2,bin5,localized,bin1,bin5,8.0,7.0,medium,medium
img_04778_Background_HumanParsing_OpenJourney,p2p/OpenImages/SDv5/on_a_wintery_day.jpeg,HumanParsing,"['Hair', 'Upper-clothes', 'Right-arm', 'Face', 'Background']",['person'],fake,img_04778_Background,original/masks/HumanParsing/img_04778_Background.png,Background,0.6411666870117188,inpainting,OpenJourney,Background with more natural light.,small,False,0.2532680332660675,0.759210467338562,mistral-7b,0.556764543056488,0.6584057211875916,0.6799973845481873,0.62353515625,0.193775558989888,0.18864506,0.2292446796249887,0.3500688817406432,0.83746337890625,0.830352783203125,208106.0,210318.0,6.0,7.0,595.6036702128325,595.4771125589447,bin5,bin5,bin4,bin5,bin5,bin1,bin5,bin5,diffused,bin5,bin5,5.0,5.0,medium,medium
ae666dbde4d986ca_m0ph39_f54bdf7b_OpenImages_OpenJourney,p2p/OpenImages/SDv4/at_an_airport.jpeg,OpenImages,"['canoe', 'boy']","['boy', 'canoe']",fake,ae666dbde4d986ca_m0ph39_f54bdf7b,original/masks/OpenImages/ae666dbde4d986ca_m0ph39_f54bdf7b.jpg,canoe,0.013946533203125,inpainting,OpenJourney,Canoe with yellow paddles.,medium,False,0.2461277246475219,0.867622435092926,mistral-7b,0.5297672748565674,0.3098323047161102,0.5941474735736847,0.664306640625,0.017082453963238,0.016429553,0.6605759199425371,0.6892169686977251,0.1650962829589843,0.1643867492675781,8763.0,8899.0,30.0,28.0,482.24111212191787,482.0213838758985,bin5,bin5,bin4,bin5,bin4,bin1,bin5,bin2,diffused,bin5,bin2,2.0,1.0,low,low
