image_id,image_path,dataset,entities,class,label,mask_id,mask_path,mask_name,ratio,method,model,perturbed_mask_name,sem_magnitude,quality_flag,cap2_img2,direct_sim,language_model,dreamsim,lpips_score,sen_sim,clip_sim,mse_rgb,mse_gray,ssim_rgb,ssim_gray,ratio_rgb,ratio_gray,largest_component_size_gray,largest_component_size_rgb,cc_cluters_rgb,cc_clusters_gray,cluster_dist_rgb,cluster_dist_gray,dreamsim_category,lpips_score_category,sen_sim_category,clip_sim_category,mse_rgb_category,ssim_rgb_category,ratio_rgb_category,ratio_category,change_location_category,sem_mag_category,size_mag_category,scene_diversity,scene_complexity,scene_diversity_category,scene_complexity_category
hanover_000000_040294_instance005_CityScapes_StableDiffusion_v4,p2p/CelebAHQ/SDv5/black_suit_with_a.jpeg,CityScapes,"['out of roi', 'rectification border', 'pole', 'vegetation', 'static', 'building', 'ego vehicle', 'sky', 'road', 'sidewalk']","['road', 'building', 'ego vehicle']",fake,hanover_000000_040294_instance005,original/masks/CityScapes/hanover_000000_040294_instance005.png,sidewalk,0.05145263671875,inpainting,StableDiffusion_v4,Pavement,medium,False,0.2421972751617431,0.9108192920684814,mistral-7b,0.4021646380424499,0.3889994621276855,0.8104920536279678,0.75537109375,0.0355668153412049,0.035931967,0.5799451203839802,0.6497820740239412,0.1437759399414062,0.1471710205078125,23098.0,23146.0,14.0,16.0,475.4189273929117,475.4355905831009,bin5,bin5,bin5,bin5,bin5,bin1,bin5,bin4,diffused,bin5,bin4,10.0,16.0,medium,high
bremen_000150_000019_instance004_CityScapes_StableDiffusion_v4,p2p/CelebAHQ/OJ/natural_light.jpeg,CityScapes,"['out of roi', 'pole', 'vegetation', 'static', 'building', 'ego vehicle', 'sky', 'car', 'road', 'terrain', 'sidewalk']","['road', 'building', 'vegetation']",fake,bremen_000150_000019_instance004,original/masks/CityScapes/bremen_000150_000019_instance004.png,sky,0.347808837890625,inpainting,StableDiffusion_v4, Sky with no clouds,large,False,0.2032225579023361,0.7736368775367737,mistral-7b,0.4393057823181152,0.4974464178085327,0.8060146421194077,0.683837890625,0.0446813068245674,0.04046589,0.4141573701347503,0.5398276924232519,0.3573951721191406,0.33990478515625,35193.0,38178.0,29.0,32.0,552.3429122235881,552.8534968263166,bin5,bin5,bin5,bin5,bin5,bin1,bin5,bin5,diffused,bin5,bin5,11.0,15.0,medium,high
a91055125f2815b4_m01bl7v_c916f3bd_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/comfortable.jpeg,OpenImages,"['boy', 'human ear']","['boy', 'human ear']",fake,a91055125f2815b4_m01bl7v_c916f3bd,original/masks/OpenImages/a91055125f2815b4_m01bl7v_c916f3bd.jpg,boy,0.6323165893554688,inpainting,StableDiffusion_v4,The boy's hair is curly.,small,False,0.3150612711906433,0.7949519753456116,mistral-7b,0.0625027418136596,0.0947988033294677,0.8087683320045471,0.68896484375,0.0060346323121102,0.005578341,0.7959081798240586,0.8151318358471367,0.0605049133300781,0.0551567077636718,2658.0,2658.0,18.0,15.0,544.5489638353978,516.389755998131,bin3,bin4,bin5,bin5,bin3,bin3,bin4,bin5,diffused,bin3,bin5,2.0,2.0,low,low
instance_000_ADE_train_00014375_ADE20K_StableDiffusion_v4,p2p/ADE20K/SDv4/banquet_hall.jpeg,ADE20K,"['floor', 'staircase', 'wall', 'base', 'aquarium']","['aquarium', 'base', 'staircase']",fake,instance_000_ADE_train_00014375,original/masks/ADE20K/instance_000_ADE_train_00014375.png,aquarium,0.7123565673828125,inpainting,StableDiffusion_v4,Aquarium with more vibrant fish.,medium,False,0.2692995071411133,0.8122107982635498,mistral-7b,0.371886134147644,0.3221178948879242,0.7091827392578125,0.70166015625,0.035095101933013,0.026463868,0.4909343432652682,0.5539175685986514,0.2749862670898437,0.1913375854492187,16749.0,16771.0,18.0,15.0,584.5993007014529,464.7380108951052,bin5,bin5,bin5,bin5,bin5,bin1,bin5,bin5,diffused,bin5,bin5,5.0,4.0,medium,medium
aachen_000167_000019_instance032_CityScapes_StableDiffusion_v4,p2p/CelebAHQ/OJ/groom.jpeg,CityScapes,"['out of roi', 'pole', 'vegetation', 'static', 'building', 'motorcycle', 'ego vehicle', 'sky', 'car', 'road', 'terrain', 'parking', 'sidewalk']","['building', 'road', 'vegetation']",fake,aachen_000167_000019_instance032,original/masks/CityScapes/aachen_000167_000019_instance032.png,parking,0.0075798034667968,inpainting,StableDiffusion_v4, Parking with more trees.,small,False,0.2534379363059997,0.9019492864608764,mistral-7b,0.5951346158981323,0.4809218943119049,0.7286262810230255,0.6025390625,0.0363574355244101,0.032236222,0.5140649066308692,0.6209428982406278,0.3078231811523437,0.2829666137695312,57251.0,64469.0,18.0,19.0,549.6668299473339,541.2563550300903,bin5,bin5,bin5,bin5,bin5,bin1,bin5,bin1,diffused,bin5,bin1,13.0,20.0,high,high
darmstadt_000017_000019_instance090_CityScapes_StableDiffusion_v4,p2p/CelebAHQ/OJ/and_smiling_broadly.jpeg,CityScapes,"['rail track', 'out of roi', 'vegetation', 'ego vehicle', 'sky', 'car', 'ground', 'road', 'terrain', 'sidewalk']","['road', 'vegetation', 'ego vehicle']",fake,darmstadt_000017_000019_instance090,original/masks/CityScapes/darmstadt_000017_000019_instance090.png,out of roi,0.0107421875,inpainting,StableDiffusion_v4,Out of roi with blurred background.,medium,False,0.2215430438518524,0.9316729307174684,mistral-7b,0.0479888916015625,0.0998811572790145,0.8277163207530975,0.7510986328125,0.0046284979996613,0.0042882334,0.5793679806084763,0.584600818776632,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,bin2,bin4,bin5,bin5,bin3,bin1,bin1,bin2,localized,bin2,bin1,10.0,11.0,medium,medium
hanover_000000_019456_instance078_CityScapes_StableDiffusion_v4,p2p/CelebAHQ/OJ/white.jpeg,CityScapes,"['out of roi', 'rectification border', 'vegetation', 'building', 'ego vehicle', 'sky', 'car', 'road', 'sidewalk']","['road', 'vegetation', 'building']",fake,hanover_000000_019456_instance078,original/masks/CityScapes/hanover_000000_019456_instance078.png,out of roi,0.0107421875,inpainting,StableDiffusion_v4,Car,small,False,0.2388402074575424,0.8572618365287781,mistral-7b,0.5386992692947388,0.3714911937713623,0.93186304718256,0.78466796875,0.0642327215988391,0.056730013,0.5871015644163546,0.6819610157737686,0.37750244140625,0.35498046875,60801.0,70458.0,6.0,8.0,404.866563683016,462.04005873534095,bin5,bin5,bin5,bin5,bin5,bin1,bin5,bin2,diffused,bin5,bin2,9.0,19.0,medium,high
dorm_masseeh_sr_scan1_oct_26_2012_erika__0001295-000059709689_007_SUN_RGBD_StableDiffusion_v4,p2p/OpenImages/SDv4/sleek.jpeg,SUN_RGBD,"['CHAIR', 'WALL', 'WOOD', 'WOODSHELF', 'FLOOR']",['study_space'],fake,dorm_masseeh_sr_scan1_oct_26_2012_erika__0001295-000059709689_007,original/masks/SUN_RGBD/dorm_masseeh_sr_scan1_oct_26_2012_erika__0001295-000059709689_007.jpg,CHAIR,0.0776748657226562,inpainting,StableDiffusion_v4,CHAIR with a different color,medium,False,0.2246134877204895,0.905742049217224,mistral-7b,0.044782280921936,0.0657304972410202,0.5785225629806519,0.64990234375,0.0031615442229313,0.002832493,0.8221966835300939,0.8249832724925056,0.0025596618652343,0.0010223388671875,268.0,390.0,3.0,2.0,183.25917940250773,-1.0,bin2,bin3,bin4,bin5,bin2,bin3,bin1,bin4,localized,bin2,bin4,5.0,8.0,medium,medium
instance_001_ADE_train_00014766_ADE20K_StableDiffusion_v4,p2p/ADE20K/SDv4/kitchen.jpeg,ADE20K,"['floor', 'wall', 'window', 'ceiling', 'stall', 'horse']","['stall', 'horse', 'window']",fake,instance_001_ADE_train_00014766,original/masks/ADE20K/instance_001_ADE_train_00014766.png,stall,0.8158226013183594,inpainting,StableDiffusion_v4,Horse,large,False,0.269896537065506,0.631499707698822,mistral-7b,0.7011052966117859,0.5209827423095703,0.7465028464794159,0.826171875,0.0842978830226305,0.09003023,0.3188277390937851,0.4102796907227146,0.4780006408691406,0.4930458068847656,85861.0,83946.0,17.0,14.0,509.9009707860787,458.5305481973528,bin5,bin5,bin5,bin5,bin5,bin1,bin5,bin5,diffused,bin5,bin5,6.0,5.0,medium,medium
27669_skin_CelebAHQ_StableDiffusion_v4,p2p/ADE20K/SDv4/group.jpeg,CelebAHQ,"['skin', 'left_brow', 'nose', 'hair', 'left_ear', 'lower_lip', 'neck', 'right_brow', 'right_ear', 'cloth']",['person'],fake,27669_skin,original/masks/CelebAHQ/27669_skin.jpg,skin,0.3606910705566406,inpainting,StableDiffusion_v4,Fur,medium,False,0.2453814446926117,0.6379106044769287,mistral-7b,0.3126567006111145,0.373687207698822,0.8686777949333191,0.7725830078125,0.0815414958847771,0.08129931,0.3427894673932223,0.394186385382429,0.6859664916992188,0.6851234436035156,174261.0,174630.0,7.0,7.0,401.6044977967288,401.0383716701274,bin5,bin5,bin5,bin5,bin5,bin1,bin5,bin5,diffused,bin5,bin5,10.0,10.0,medium,medium
