,image_id,og_image,image_path,ratio_category,label,entities
0,3fdfe506da22acaa_m0ch_cf_00434cf6_OpenImages_StableDiffusion_XL,3fdfe506da22acaa,p2p/ADE20K/OJ/dimly_lit.jpeg,bin4,fake,['fish']
1,3fdfe506da22acaa_m0ch_cf_f626de23_OpenImages_StableDiffusion_v5,3fdfe506da22acaa,p2p/OpenImages/SDv5/close-up.jpeg,bin2,fake,['fish']
2,3fdfe506da22acaa_m0ch_cf_484255f6_OpenImages_StableDiffusion_XL,3fdfe506da22acaa,p2p/OpenImages/OJ/red.jpeg,bin3,fake,['fish']
3,f509159922bd5baa_m04dr76w_c5a9a2d9_OpenImages_OpenJourney,f509159922bd5baa,p2p/OpenImages/SDv4/at_an_airport.jpeg,bin2,fake,['bottle']
4,f509159922bd5baa_m04dr76w_c5a9a2d9_OpenImages_Kandinsky_2_2,f509159922bd5baa,p2p/OpenImages/SDv5/clear.jpeg,bin2,fake,['bottle']
5,f509159922bd5baa_m04dr76w_5f100e1e_OpenImages_Kandinsky_2_2,f509159922bd5baa,p2p/OpenImages/SDv5/photograph.jpeg,bin2,fake,['bottle']
6,86401ad43b4f7652_m0cnyhnx_ca4b7e93_OpenImages_OpenJourney,86401ad43b4f7652,"p2p/OpenImages/SDv4/woman_++
.jpeg",bin5,fake,"['horse', 'bull']"
7,86401ad43b4f7652_m0cnyhnx_ca4b7e93_OpenImages_OpenJourney,86401ad43b4f7652,p2p/OpenImages/SDv4/on_a_laptop.jpeg,bin5,fake,"['horse', 'bull']"
8,86401ad43b4f7652_m0cnyhnx_ca4b7e93_OpenImages_Kandinsky_2_2,86401ad43b4f7652,p2p/OpenImages/SDv4/cherries_on_top.jpeg,bin5,fake,"['horse', 'bull']"
9,86401ad43b4f7652_m0cnyhnx_ca4b7e93_OpenImages_StableDiffusion_v4,86401ad43b4f7652,p2p/OpenImages/SDv5/thunderstorm_surrounding_it.jpeg,bin5,fake,"['horse', 'bull']"
10,86401ad43b4f7652_m03k3r_03b30a42_OpenImages_StableDiffusion_v5,86401ad43b4f7652,p2p/OpenImages/OJ/stressful.jpeg,bin2,fake,"['horse', 'bull']"
11,91326dc604d416d7_m025rp___512185c4_OpenImages_StableDiffusion_v5,91326dc604d416d7,p2p/OpenImages/SDv5/in_a_bustling_kitchen.jpeg,bin3,fake,['cowboy hat']
12,91326dc604d416d7_m025rp___09b2ec4b_OpenImages_StableDiffusion_XL,91326dc604d416d7,p2p/OpenImages/OJ/in_a_skyscraper_in_a_bustling_city.jpeg,bin2,fake,['cowboy hat']
13,91326dc604d416d7_m025rp___4b2e5b21_OpenImages_StableDiffusion_XL,91326dc604d416d7,p2p/ADE20K/OJ/orchid.jpeg,bin3,fake,['cowboy hat']
14,91326dc604d416d7_m025rp___7d611efd_OpenImages_StableDiffusion_XL,91326dc604d416d7,p2p/ADE20K/OJ/on_a_hot_day.jpeg,bin4,fake,['cowboy hat']
15,91326dc604d416d7_m025rp___1089e465_OpenImages_OpenJourney,91326dc604d416d7,p2p/OpenImages/SDv4/purple.jpeg,bin2,fake,['cowboy hat']
16,91326dc604d416d7_m025rp___1089e465_OpenImages_StableDiffusion_v4,91326dc604d416d7,p2p/OpenImages/SDv5/a_container_in.jpeg,bin2,fake,['cowboy hat']
17,b2916bddaa2d55eb_m021mn_89c7afa6_OpenImages_StableDiffusion_v5,b2916bddaa2d55eb,p2p/OpenImages/OJ/small.jpeg,bin3,fake,['cookie']
18,b2916bddaa2d55eb_m021mn_01c63ee5_OpenImages_StableDiffusion_XL,b2916bddaa2d55eb,p2p/OpenImages/OJ/a_piano_in_a_concert_hall.jpeg,bin3,fake,['cookie']
19,b2916bddaa2d55eb_m021mn_7a072844_OpenImages_Kandinsky_2_2,b2916bddaa2d55eb,p2p/OpenImages/SDv5/on_a_clear_day.jpeg,bin2,fake,['cookie']
20,b2916bddaa2d55eb_m021mn_3c1f8fca_OpenImages_OpenJourney,b2916bddaa2d55eb,p2p/OpenImages/SDv4/coastal.jpeg,bin4,fake,['cookie']
21,b2916bddaa2d55eb_m021mn_c915f16e_OpenImages_StableDiffusion_v4,b2916bddaa2d55eb,p2p/OpenImages/SDv5/in_the_sun.jpeg,bin3,fake,['cookie']
22,b2916bddaa2d55eb_m021mn_4150ba26_OpenImages_StableDiffusion_XL,b2916bddaa2d55eb,p2p/OpenImages/OJ/rainy.jpeg,bin3,fake,['cookie']
23,b2916bddaa2d55eb_m021mn_f459da98_OpenImages_StableDiffusion_v5,b2916bddaa2d55eb,p2p/OpenImages/OJ/teenagers.jpeg,bin4,fake,['cookie']
24,b2916bddaa2d55eb_m021mn_c915f16e_OpenImages_OpenJourney,b2916bddaa2d55eb,p2p/OpenImages/SDv4/tranquil.jpeg,bin3,fake,['cookie']
25,b2916bddaa2d55eb_m021mn_4150ba26_OpenImages_OpenJourney,b2916bddaa2d55eb,p2p/OpenImages/SDv4/with_banners.jpeg,bin3,fake,['cookie']
26,b2916bddaa2d55eb_m021mn_4150ba26_OpenImages_OpenJourney,b2916bddaa2d55eb,p2p/OpenImages/SDv4/sunburned.jpeg,bin3,fake,['cookie']
27,b2916bddaa2d55eb_m021mn_b5766c02_OpenImages_StableDiffusion_v5,b2916bddaa2d55eb,p2p/OpenImages/OJ/on_a_city_street.jpeg,bin1,fake,['cookie']
28,b2916bddaa2d55eb_m021mn_f459da98_OpenImages_Kandinsky_2_2,b2916bddaa2d55eb,p2p/OpenImages/SDv4/sleepy.jpeg,bin4,fake,['cookie']
29,c861036dc15f8bca_m027pcv_3dde2a0c_OpenImages_StableDiffusion_v5,c861036dc15f8bca,p2p/OpenImages/SDv5/in_the_misty_rain.jpeg,bin1,fake,['zucchini']
30,c861036dc15f8bca_m027pcv_f78eb5a0_OpenImages_StableDiffusion_v4,c861036dc15f8bca,p2p/OpenImages/SDv5/on_a_serene_beach_with_the_sound_of_waves_in_the_background.jpeg,bin1,fake,['zucchini']
31,c861036dc15f8bca_m027pcv_3dde2a0c_OpenImages_StableDiffusion_XL,c861036dc15f8bca,p2p/ADE20K/OJ/panoramic.jpeg,bin1,fake,['zucchini']
32,c861036dc15f8bca_m027pcv_7bb9332c_OpenImages_StableDiffusion_v5,c861036dc15f8bca,p2p/OpenImages/SDv5/in_the_scorching_sun.jpeg,bin2,fake,['zucchini']
33,001a695ad732152b_m02wbtzl_9b6e60b8_OpenImages_StableDiffusion_v4,001a695ad732152b,p2p/OpenImages/SDv5/oranges.jpeg,bin5,fake,['sun hat']
34,001a695ad732152b_m02wbtzl_9b6e60b8_OpenImages_StableDiffusion_v4,001a695ad732152b,p2p/OpenImages/SDv5/an_artistic.jpeg,bin5,fake,['sun hat']
35,001a695ad732152b_m02wbtzl_9b6e60b8_OpenImages_OpenJourney,001a695ad732152b,p2p/OpenImages/SDv4/dog_leash.jpeg,bin5,fake,['sun hat']
36,fd280d46f9488014_m01d40f_41bb8e2e_OpenImages_OpenJourney,fd280d46f9488014,p2p/OpenImages/SDv4/in_a_desert.jpeg,bin5,fake,['dress']
37,fd280d46f9488014_m01d40f_41bb8e2e_OpenImages_StableDiffusion_XL,fd280d46f9488014,"p2p/ADE20K/OJ/man's____++
_portrait.jpeg",bin5,fake,['dress']
38,fd280d46f9488014_m01d40f_98ec7f76_OpenImages_StableDiffusion_XL,fd280d46f9488014,p2p/ADE20K/OJ/a_beach.jpeg,bin3,fake,['dress']
