index,image_id,image_path,ratio_category,label,entities,og_image
4,f509159922bd5baa_m04dr76w_c5a9a2d9_OpenImages_OpenJourney,p2p/OpenImages/SDv4/at_an_airport.jpeg,bin2,fake,['bottle'],13.0
6,86401ad43b4f7652_m0cnyhnx_ca4b7e93_OpenImages_OpenJourney,"p2p/OpenImages/SDv4/woman_++
.jpeg",bin5,fake,"['horse', 'bull']",8290.0
10,91326dc604d416d7_m025rp___512185c4_OpenImages_StableDiffusion_v5,p2p/OpenImages/SDv5/in_a_bustling_kitchen.jpeg,bin3,fake,['cowboy hat'],12382.0
25,b2916bddaa2d55eb_m021mn_89c7afa6_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/small.jpeg,bin3,fake,['cookie'],6947.0
32,c861036dc15f8bca_m027pcv_3dde2a0c_OpenImages_StableDiffusion_v5,p2p/OpenImages/SDv5/in_the_misty_rain.jpeg,bin1,fake,['zucchini'],13111.0
42,001a695ad732152b_m02wbtzl_9b6e60b8_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/oranges.jpeg,bin5,fake,['sun hat'],4903.0
51,fd280d46f9488014_m01d40f_41bb8e2e_OpenImages_OpenJourney,p2p/OpenImages/SDv4/in_a_desert.jpeg,bin5,fake,['dress'],4346.0
80,9c226d0fe33db772_m06m11_bf150c2d_OpenImages_OpenJourney,p2p/OpenImages/SDv4/curious.jpeg,bin4,fake,['rose'],4022.0
81,39cb2cc53e4b218d_m02zvsm_bb92b9fb_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/man.jpeg,bin5,fake,['tart'],8489.0
99,5fdedcd2143479b3_m02p5f1q_b6d40b99_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/cat_curling_up_next_to_it.jpeg,bin3,fake,"['saucer', 'coffee cup', 'bread']",3598.0
105,5f2c6ffc9d36ed35_m09728_59f3b122_OpenImages_OpenJourney,p2p/OpenImages/SDv4/enclosure.jpeg,bin2,fake,"['hamburger', 'bread']",109.0
113,e3ca083901d78d37_m03fwl_e729982c_OpenImages_StableDiffusion_XL,p2p/ADE20K/OJ/concrete_floor.jpeg,bin3,fake,"['sheep', 'goat']",9887.0
121,74b714ee6721e879_m0hf58v5_c3daf51e_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/desk_in_a_busy_office.jpeg,bin1,fake,"['luggage and bags', 'girl']",8326.0
131,74563583796dcea3_m08pbxl_b579067d_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/an_edgy_man_with.jpeg,bin5,fake,['monkey'],10717.0
156,7836e79ccd8a924a_m02p0tk3_d1c86e37_OpenImages_StableDiffusion_XL,p2p/ADE20K/OJ/illuminated_only_by_leds.jpeg,bin3,fake,"['human body', 'horse', 'bull']",6635.0
164,38776582a81af18f_m0138tl_c7c6ad6a_OpenImages_StableDiffusion_XL,p2p/CelebAHQ/SDv4/fashionable.jpeg,bin5,fake,"['christmas tree', 'toy']",995.0
175,74b714ee6721e879_m0hf58v5_1c57b3c7_OpenImages_OpenJourney,p2p/OpenImages/SDv4/on_a_foggy_day_a_photo_of_a_close_up_of_a_bird_with_a_very_big_beak_on_a_windy_day_a_photo_of_a_close_up_of_a_bird_with_a_very_big_beak_on_a_stormy_day_a_photo_of_a_close_up_of_a_bird_with_a_very_big_beak.jpeg,bin3,fake,"['luggage and bags', 'girl']",8326.0
184,94e41c296bd7ffb3_m09rvcxw_d6d5aff7_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/deserted.jpeg,bin4,fake,"['missile', 'rocket']",3568.0
194,f49b39356ee510f4_m03d443_2c667277_OpenImages_StableDiffusion_XL,p2p/OpenImages/OJ/squirrel.jpeg,bin5,fake,['rhinoceros'],2297.0
206,1fe7a99c23f64885_m03fwl_5cf9caaa_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/clear.jpeg,bin1,fake,"['cattle', 'goat']",3605.0
221,97bd4d44d3eba27d_m01bqk0_d7c1edac_OpenImages_Kandinsky_2_2,"p2p/OpenImages/SDv4/grassy______+
_plain.jpeg",bin4,fake,"['man', 'bicycle wheel']",2876.0
248,bcb52a962e3bed87_m02vqfm_a96e4bc9_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/foggy.jpeg,bin5,fake,"['tea', 'coffee (drink)', 'coffee cup', 'mug']",8222.0
251,ddb2047a165799b4_m01z1kdw_464fcb49_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/decorative.jpeg,bin4,fake,"['cocktail', 'juice']",6022.0
252,409fb6aa7a58f7fc_m0k5j_411c0b20_OpenImages_OpenJourney,p2p/OpenImages/SDv4/wooden_cabin_in_the_woods.jpeg,bin5,fake,['aircraft'],7337.0
256,7836e79ccd8a924a_m02p0tk3_d1c86e37_OpenImages_StableDiffusion_XL,p2p/OpenImages/OJ/on_a_snowy_day.jpeg,bin3,fake,"['human body', 'horse', 'bull']",6635.0
269,279ca908e642fd7a_m01bl7v_2baaa389_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/motorcycle.jpeg,bin5,fake,"['boy', 'human mouth']",3149.0
279,b2916bddaa2d55eb_m021mn_01c63ee5_OpenImages_StableDiffusion_XL,p2p/OpenImages/OJ/a_piano_in_a_concert_hall.jpeg,bin3,fake,['cookie'],6947.0
291,00812a688e387d43_m01bfm9_d7781747_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/swimming_in.jpeg,bin4,fake,['shorts'],5715.0
299,26912ba548456bd8_m079cl_fa14470b_OpenImages_StableDiffusion_v4,"p2p/OpenImages/SDv5/women_++
.jpeg",bin5,fake,['skyscraper'],5541.0
302,c3eed75afb2a6e35_m07clx_d6fb66fc_OpenImages_StableDiffusion_XL,p2p/ADE20K/OJ/at_night.jpeg,bin4,fake,"['spoon', 'coffee (drink)', 'saucer', 'coffee cup', 'tea']",12930.0
341,ffa70a65bc910ea4_m026qbn5_4aa96570_OpenImages_OpenJourney,p2p/OpenImages/SDv4/motivated.jpeg,bin5,fake,"['studio couch', 'couch']",4334.0
344,f9cf7cec793a2988_m0l515_80b648a7_OpenImages_OpenJourney,p2p/OpenImages/SDv4/in_a_botanical_garden.jpeg,bin4,fake,"['coffee (drink)', 'coffee cup', 'mug', 'sandwich']",5936.0
355,e1ddd4103569fbab_m02l8p9_df248772_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/colorful.jpeg,bin5,fake,"['harbor seal', 'sea lion', 'carnivore']",4760.0
359,fb43156f7d0a6b94_m099ssp_138f28e6_OpenImages_OpenJourney,p2p/OpenImages/SDv4/a_red_white.jpeg,bin3,fake,"['platter', 'oyster']",8340.0
377,54ba1ec0d85d45b1_m06m11_ba60c1e5_OpenImages_OpenJourney,p2p/OpenImages/SDv4/child.jpeg,bin4,fake,"['vase', 'rose']",3337.0
380,ddb2047a165799b4_m01z1kdw_3f98c0b1_OpenImages_StableDiffusion_XL,p2p/ADE20K/OJ/man.jpeg,bin4,fake,"['cocktail', 'juice']",6022.0
387,5a26ee6c6175ae97_m0_cp5_f7940825_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/snowy.jpeg,bin4,fake,['oyster'],11659.0
397,4e1a92be80a8d7f6_m01b638_fc2fb0dd_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/snowy.jpeg,bin4,fake,['boot'],9664.0
401,63cb39d5401e1a6e_m01gkx__1902402b_OpenImages_OpenJourney,p2p/OpenImages/SDv4/sausage.jpeg,bin1,fake,"['woman', 'swimwear']",3277.0
412,28d5b8a619808f60_m0c9ph5_8af3740d_OpenImages_OpenJourney,p2p/OpenImages/SDv4/in_a_thunderstorm.jpeg,bin5,fake,['flower'],10812.0
415,abed8a82f3e24f22_m02vqfm_9ce310e4_OpenImages_StableDiffusion_XL,p2p/OpenImages/OJ/on_a_dry_day.jpeg,bin3,fake,"['coffee (drink)', 'saucer', 'drink', 'coffee cup', 'tea']",11322.0
418,f820c39c5300de83_m03bt1vf_aaed1c4e_OpenImages_StableDiffusion_v5,p2p/OpenImages/SDv5/in_the_middle_of_the_ocean.jpeg,bin5,fake,"['shorts', 'volleyball (ball)', 'woman']",62.0
421,fa18e35a0def0b4f_m0cyhj__0213c64f_OpenImages_Kandinsky_2_2,p2p/OpenImages/SDv4/on_a_windy_day.jpeg,bin2,fake,['orange (fruit)'],6976.0
460,b99df92d7b79dec8_m02p5f1q_a44cfa58_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/at_night.jpeg,bin5,fake,"['spoon', 'coffee cup', 'drink']",10446.0
485,a83f96e6a35124c7_m084zz_ee42acf3_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/vase.jpeg,bin4,fake,"['fish', 'whale', 'dolphin']",2026.0
491,a0620646a2b9d6e7_m024g6_be7de5be_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/on_a_beautiful_easter_sunday.jpeg,bin5,fake,"['cocktail', 'juice', 'lemon (plant)']",459.0
496,14a839093eaba2d3_m02p3w7d_a3d9a64d_OpenImages_OpenJourney,p2p/OpenImages/SDv4/in_the_heat_of_the_summer.jpeg,bin3,fake,['roller skates'],5131.0
508,e1065d5f5dbeac8b_m050k8_ea724a27_OpenImages_StableDiffusion_XL,p2p/OpenImages/OJ/bunch_of_brightly_colored_flowers_would_brighten_up.jpeg,bin5,fake,['mobile phone'],7040.0
509,39988dc3a63d8751_m05kyg__bc0870bb_OpenImages_OpenJourney,p2p/OpenImages/SDv4/on_a_stormy_day.jpeg,bin4,fake,"['pillow', 'chest of drawers']",187.0
523,3d37a6b6be146c12_m03fwl_9798d876_OpenImages_StableDiffusion_XL,p2p/ADE20K/OJ/at_night_with_a_bright_moon_and_stars_in_the_sky.jpeg,bin1,fake,['goat'],285.0
524,b6436a7302c5eaa4_m02p0tk3_fd5ad728_OpenImages_OpenJourney,p2p/OpenImages/SDv4/an_elderly.jpeg,bin3,fake,"['human body', 'girl']",663.0
537,c3eed75afb2a6e35_m02vqfm_e6d677ff_OpenImages_StableDiffusion_v5,p2p/OpenImages/SDv5/stoic.jpeg,bin4,fake,"['spoon', 'coffee (drink)', 'saucer', 'coffee cup', 'tea']",12930.0
